Montana,9,2016,59.6,31
Nebraska,9,2016,68.4,9
Nevada,9,2016,67.2,1
New Hampshire,9,2016,64.4,44
New Jersey,9,2016,73.3,45
New Mexico,9,2016,68.0,34
New York,9,2016,66.9,10
North Carolina,9,2016,76.8,5
North Dakota,9,2016,63.3,35
Ohio,9,2016,72.6,6
Oklahoma,9,2016,78.0,27
Oregon,9,2016,61.9,47
Pennsylvania,9,2016,69.8,16
Rhode Island,9,2016,70.2,7
South Carolina,9,2016,79.5,11
South Dakota,9,2016,66.7,19
Tennessee,9,2016,76.6,46
Texas,9,2016,79.6,38
Utah,9,2016,65.6,28
Vermont,9,2016,63.7,12
Virginia,9,2016,74.4,36
Washington,9,2016,61.2,17
West Virginia,9,2016,72.2,13
Wisconsin,9,2016,66.0,14
Wyoming,9,2016,59.4,39
Alabama,10,2016,73.6,29
Arizona,10,2016,68.8,2
Arkansas,10,2016,71.4,20
California,10,2016,65.0,21
Colorado,10,2016,55.8,40
Connecticut,10,2016,59.8,22
Delaware,10,2016,66.2,41
Florida,10,2016,77.8,3
Georgia,10,2016,72.6,23
Idaho,10,2016,50.2,24
Illinois,10,2016,65.4,25
Indiana,10,2016,64.7,32
Iowa,10,2016,61.3,42
Kansas,10,2016,66.2,43
Kentucky,10,2016,67.4,18
Louisiana,10,2016,75.8,33
Maine,10,2016,53.0,15
Maryland,10,2016,65.4,0
Massachusetts,10,2016,58.4,30
Michigan,10,2016,57.6,4
Minnesota,10,2016,54.4,26
Mississippi,10,2016,74.1,8
Missouri,10,2016,66.9,37
Montana,10,2016,49.6,31
Nebraska,10,2016,60.2,9
Nevada,10,2016,57.8,1
New Hampshire,10,2016,54.2,44
New Jersey,10,2016,63.2,45
New Mexico,10,2016,62.8,34
New York,10,2016,56.7,10
North Carolina,10,2016,68.8,5
North Dakota,10,2016,52.4,35
Ohio,10,2016,63.4,6
Oklahoma,10,2016,71.2,27
Oregon,10,2016,52.6,47
Pennsylvania,10,2016,59.9,16
Rhode Island,10,2016,60.6,7
South Carolina,10,2016,71.8,11
South Dakota,10,2016,57.0,19
Tennessee,10,2016,69.4,46
Texas,10,2016,74.2,38
Utah,10,2016,57.2,28
Vermont,10,2016,53.8,12
Virginia,10,2016,65.8,36
Washington,10,2016,51.9,17
West Virginia,10,2016,63.4,13
